S_phase;G2M_phase;;;;
MCM5;HMGB2;;;;
PCNA;CDK1;;;;
TYMS;NUSAP1;;;;
FEN1;UBE2C;;;;
MCM2;BIRC5;;;;
MCM4;TPX2;;;;
RRM1;TOP2A;;;;
UNG;NDC80;;;;
GINS2;CKS2;;;;
MCM6;NUF2;;;;
CDCA7;CKS1B;;;;
DTL;MKI67;;;;
PRIM1;TMPO;;;;
UHRF1;CENPF;;;;
MLF1IP;TACC3;;;;
HELLS;FAM64A;;;;
RFC2;SMC4;;;;
RPA2;CCNB2;;;;
NASP;CKAP2L;;;;
RAD51AP1;CKAP2;;;;
GMNN;AURKB;;;;
WDR76;BUB1;;;;
SLBP;KIF11;;;;
CCNE2;ANP32E;;;;
UBR7;TUBB4B;;;;
POLD3;GTSE1;;;;
MSH2;KIF20B;;;;
ATAD2;HJURP;;;;
RAD51;CDCA3;;;;
RRM2;HN1;;;;
CDC45;CDC20;;;;
CDC6;TTK;;;;
EXO1;CDC25C;;;;
TIPIN;KIF2C;;;;
DSCC1;RANGAP1;;;;
BLM;NCAPD2;;;;
CASP8AP2;DLGAP5;;;;
USP1;CDCA2;;;;
CLSPN;CDCA8;;;;
POLA1;ECT2;;;;
CHAF1B;KIF23;;;;
BRIP1;HMMR;;;;
E2F8;AURKA;;;;
;PSRC1;;;;
;ANLN;;;;
;LBR;;;;
;CKAP5;;;;
;CENPE;;;;
;CTCF;;;;
;NEK2;;;;
;G2E3;;;;
;GAS2L3;;;;
;CBX5;;;;
;CENPA;;;;
